Coin Name,Ticker,Category,X-Spot-Id,X-Post-Id,Conversation Id
Bitcoin,BTC-USD,Currency,sp_Rba9aFpG,finmb$BTC$CCC,sp_Rba9aFpG_finmb$BTC$CCC
Ethereum,ETH-USD,Chain,sp_Rba9aFpG,finmb$ETH$CCC,sp_Rba9aFpG_finmb$ETH$CCC
Tether,USDT-USD,Stablecoin,sp_Rba9aFpG,finmb$USDT$CCC,sp_Rba9aFpG_finmb$USDT$CCC
BNB,BNB-USD,Chain,sp_Rba9aFpG,finmb$BNB$CCC,sp_Rba9aFpG_finmb$BNB$CCC
XRP,XRP-USD,Currency,sp_Rba9aFpG,finmb$XRP$CCC,sp_Rba9aFpG_finmb$XRP$CCC
USDC,USDC-USD,Stablecoin,sp_Rba9aFpG,finmb$USDC$CCC,sp_Rba9aFpG_finmb$USDC$CCC
Solana,SOL-USD,Chain,sp_Rba9aFpG,finmb$SOL$CCC,sp_Rba9aFpG_finmb$SOL$CCC
Lido Staked Ether,STETH-USD,DeFi,sp_Rba9aFpG,finmb$STETH$CCC,sp_Rba9aFpG_finmb$STETH$CCC
Cardano,ADA-USD,Chain,sp_Rba9aFpG,finmb$ADA$CCC,sp_Rba9aFpG_finmb$ADA$CCC
Dogecoin,DOGE-USD,Meme,sp_Rba9aFpG,finmb$DOGE$CCC,sp_Rba9aFpG_finmb$DOGE$CCC
TRON,TRX-USD,Chain,sp_Rba9aFpG,finmb$TRX$CCC,sp_Rba9aFpG_finmb$TRX$CCC
Toncoin,TON-USD,Chain,sp_Rba9aFpG,finmb$TON$CCC,sp_Rba9aFpG_finmb$TON$CCC
Chainlink,LINK-USD,DeFi,sp_Rba9aFpG,finmb$LINK$CCC,sp_Rba9aFpG_finmb$LINK$CCC
Avalanche,AVAX-USD,Chain,sp_Rba9aFpG,finmb$AVAX$CCC,sp_Rba9aFpG_finmb$AVAX$CCC
Polygon,MATIC-USD,Chain,sp_Rba9aFpG,finmb$MATIC$CCC,sp_Rba9aFpG_finmb$MATIC$CCC
Polkadot,DOT-USD,Chain,sp_Rba9aFpG,finmb$DOT$CCC,sp_Rba9aFpG_finmb$DOT$CCC
Wrapped Bitcoin,WBTC-USD,Currency,sp_Rba9aFpG,finmb$WBTC$CCC,sp_Rba9aFpG_finmb$WBTC$CCC
Litecoin,LTC-USD,Currency,sp_Rba9aFpG,finmb$LTC$CCC,sp_Rba9aFpG_finmb$LTC$CCC
Shiba Inu,SHIB-USD,Meme,sp_Rba9aFpG,finmb$SHIB$CCC,sp_Rba9aFpG_finmb$SHIB$CCC
Bitcoin Cash,BCH-USD,Currency,sp_Rba9aFpG,finmb$BCH$CCC,sp_Rba9aFpG_finmb$BCH$CCC
Uniswap,UNI-USD,DeFi,sp_Rba9aFpG,finmb$UNI$CCC,sp_Rba9aFpG_finmb$UNI$CCC
TrueUSD,TUSD-USD,Stablecoin,sp_Rba9aFpG,finmb$TUSD$CCC,sp_Rba9aFpG_finmb$TUSD$CCC
Stellar,XLM-USD,Currency,sp_Rba9aFpG,finmb$XLM$CCC,sp_Rba9aFpG_finmb$XLM$CCC
Monero,XMR-USD,Currency,sp_Rba9aFpG,finmb$XMR$CCC,sp_Rba9aFpG_finmb$XMR$CCC
Kaspa,KAS-USD,Blockchain Infrastructure,sp_Rba9aFpG,finmb$KAS$CCC,sp_Rba9aFpG_finmb$KAS$CCC
Ethereum Classic,ETC-USD,Chain,sp_Rba9aFpG,finmb$ETC$CCC,sp_Rba9aFpG_finmb$ETC$CCC
Cosmos Hub,ATOM-USD,Chain,sp_Rba9aFpG,finmb$ATOM$CCC,sp_Rba9aFpG_finmb$ATOM$CCC
Cronos,CRO-USD,Chain,sp_Rba9aFpG,finmb$CRO$CCC,sp_Rba9aFpG_finmb$CRO$CCC
Lido DAO,LDO-USD,DeFi,sp_Rba9aFpG,finmb$LDO$CCC,sp_Rba9aFpG_finmb$LDO$CCC
Filecoin,FIL-USD,Blockchain Infrastructure,sp_Rba9aFpG,finmb$FIL$CCC,sp_Rba9aFpG_finmb$FIL$CCC
Hedera,HBAR-USD,Chain,sp_Rba9aFpG,finmb$HBAR$CCC,sp_Rba9aFpG_finmb$HBAR$CCC
Aptos,APT-USD,Chain,sp_Rba9aFpG,finmb$APT$CCC,sp_Rba9aFpG_finmb$APT$CCC
Internet Computer,ICP-USD,Chain,sp_Rba9aFpG,finmb$ICP$CCC,sp_Rba9aFpG_finmb$ICP$CCC
NEAR Protocol,NEAR-USD,Chain,sp_Rba9aFpG,finmb$NEAR$CCC,sp_Rba9aFpG_finmb$NEAR$CCC
BUSD,BUSD-USD,Stablecoin,sp_Rba9aFpG,finmb$BUSD$CCC,sp_Rba9aFpG_finmb$BUSD$CCC
THORChain,RUNE-USD,DeFi,sp_Rba9aFpG,finmb$RUNE$CCC,sp_Rba9aFpG_finmb$RUNE$CCC
Optimism,OP-USD,DeFi,sp_Rba9aFpG,finmb$OP$CCC,sp_Rba9aFpG_finmb$OP$CCC
VeChain,VET-USD,Blockchain Infrastructure,sp_Rba9aFpG,finmb$VET$CCC,sp_Rba9aFpG_finmb$VET$CCC
Mantle,MNT-USD,Chain,sp_Rba9aFpG,finmb$MNT$CCC,sp_Rba9aFpG_finmb$MNT$CCC
Quant,QNT-USD,Blockchain Service,sp_Rba9aFpG,finmb$QNT$CCC,sp_Rba9aFpG_finmb$QNT$CCC
Aave,AAVE-USD,DeFi,sp_Rba9aFpG,finmb$AAVE$CCC,sp_Rba9aFpG_finmb$AAVE$CCC
Maker,MKR-USD,DeFi,sp_Rba9aFpG,finmb$MKR$CCC,sp_Rba9aFpG_finmb$MKR$CCC
Injective,INJ-USD,DeFi,sp_Rba9aFpG,finmb$INJ$CCC,sp_Rba9aFpG_finmb$INJ$CCC
Arbitrum,ARB-USD,Chain,sp_Rba9aFpG,finmb$ARB$CCC,sp_Rba9aFpG_finmb$ARB$CCC
MoonBeam,GLMR-USD,Smart Contract Platform,sp_Rba9aFpG,finmb$RNDR$CCC,sp_Rba9aFpG_finmb$RNDR$CCC
MultiversX,EGLD-USD,Chain,sp_Rba9aFpG,finmb$EGLD$CCC,sp_Rba9aFpG_finmb$EGLD$CCC
Algorand,ALGO-USD,Chain,sp_Rba9aFpG,finmb$ALGO$CCC,sp_Rba9aFpG_finmb$ALGO$CCC
Stacks,STX-USD,Blockchain Infrastructure,sp_Rba9aFpG,finmb$STX$CCC,sp_Rba9aFpG_finmb$STX$CCC
Celestia,TIA-USD,Chain,sp_Rba9aFpG,finmb$TIA$CCC,sp_Rba9aFpG_finmb$TIA$CCC
The Sandbox,SAND-USD,GameFi,sp_Rba9aFpG,finmb$SAND$CCC,sp_Rba9aFpG_finmb$SAND$CCC
Axie Infinity,AXS-USD,GameFi,sp_Rba9aFpG,finmb$AXS$CCC,sp_Rba9aFpG_finmb$AXS$CCC
Bitget Token,BGB-USD,CeFi,sp_Rba9aFpG,finmb$BGB$CCC,sp_Rba9aFpG_finmb$BGB$CCC
EOS,EOS-USD,Chain,sp_Rba9aFpG,finmb$EOS$CCC,sp_Rba9aFpG_finmb$EOS$CCC
NEO,NEO-USD,Chain,sp_Rba9aFpG,finmb$NEO$CCC,sp_Rba9aFpG_finmb$NEO$CCC
USDD,USDD-USD,Stablecoin,sp_Rba9aFpG,finmb$USDD$CCC,sp_Rba9aFpG_finmb$USDD$CCC
Tezos,XTZ-USD,Chain,sp_Rba9aFpG,finmb$XTZ$CCC,sp_Rba9aFpG_finmb$XTZ$CCC
Kava,KAVA-USD,DeFi,sp_Rba9aFpG,finmb$KAVA$CCC,sp_Rba9aFpG_finmb$KAVA$CCC
XDC Network,XDC-USD,Chain,sp_Rba9aFpG,finmb$XDC$CCC,sp_Rba9aFpG_finmb$XDC$CCC
First Digital USD,FDUSD-USD,Stablecoin,sp_Rba9aFpG,finmb$FDUSD$CCC,sp_Rba9aFpG_finmb$FDUSD$CCC
FRAX,FRAX-USD,Stablecoin,sp_Rba9aFpG,finmb$FRAX$CCC,sp_Rba9aFpG_finmb$FRAX$CCC
GALA,GALA-USD,GameFi,sp_Rba9aFpG,finmb$GALA$CCC,sp_Rba9aFpG_finmb$GALA$CCC
Klaytn,KLAY-USD,Chain,sp_Rba9aFpG,finmb$KLAY$CCC,sp_Rba9aFpG_finmb$KLAY$CCC
Pyth Network,PYTH-USD,Blockchain Service,sp_Rba9aFpG,finmb$PYTH$CCC,sp_Rba9aFpG_finmb$PYTH$CCC
Mina Protocol,MINA-USD,Chain,sp_Rba9aFpG,finmb$MINA$CCC,sp_Rba9aFpG_finmb$MINA$CCC
Illuvium,ILV-USD,GameFi,sp_Rba9aFpG,finmb$ILV$CCC,sp_Rba9aFpG_finmb$ILV$CCC
Gate,GT-USD,CeFi,sp_Rba9aFpG,finmb$GT$CCC,sp_Rba9aFpG_finmb$GT$CCC
WEMIX,WEMIX-USD,Chain,sp_Rba9aFpG,finmb$WEMIX$CCC,sp_Rba9aFpG_finmb$WEMIX$CCC
Blur,BLUR-USD,NFT,sp_Rba9aFpG,finmb$BLUR$CCC,sp_Rba9aFpG_finmb$BLUR$CCC
PancakeSwap,CAKE-USD,DeFi,sp_Rba9aFpG,finmb$CAKE$CCC,sp_Rba9aFpG_finmb$CAKE$CCC
